"data";"valor"
"01/03/2020";"565,48"
"01/04/2020";"569,38"
"01/05/2020";"573,44"
"01/06/2020";"577,67"
"01/07/2020";"582,04"
"01/08/2020";"586,53"
"01/09/2020";"591,10"
"01/10/2020";"595,69"
"01/11/2020";"600,26"
"01/12/2020";"604,76"
"01/01/2021";"609,13"
"01/02/2021";"613,35"
"01/03/2021";"617,38"
"01/04/2021";"621,20"
"01/05/2021";"624,79"
"01/06/2021";"628,14"
"01/07/2021";"631,22"
"01/08/2021";"634,03"
"01/09/2021";"636,57"
"01/10/2021";"638,82"
"01/11/2021";"640,79"
"01/12/2021";"642,47"
"01/01/2022";"643,87"
"01/02/2022";"645,02"
"01/03/2022";"645,95"
"01/04/2022";"646,73"
"01/05/2022";"647,42"
"01/06/2022";"648,05"
"01/07/2022";"648,68"
"01/08/2022";"649,33"
"01/09/2022";"650,06"
"01/10/2022";"650,88"
"01/11/2022";"651,81"
"01/12/2022";"652,89"
"01/01/2023";"654,10"
"01/02/2023";"655,47"
"01/03/2023";"656,99"
"01/04/2023";"658,65"
"01/05/2023";"660,47"
"01/06/2023";"662,45"
"01/07/2023";"664,58"
"01/08/2023";"666,85"
"01/09/2023";"669,24"
"01/10/2023";"671,74"
"01/11/2023";"674,33"
"01/12/2023";"676,98"
"01/01/2024";"679,68"
"01/02/2024";"682,40"
"01/03/2024";"685,13"
"01/04/2024";"687,86"
"01/05/2024";"690,59"
